Latitude,Longitude,Elevation
29.16612000,-81.1617800,18.0
29.16619000,-81.1618500,17.0
29.16637000,-81.1617800,17.0
29.16644000,-81.1617100,17.0
29.16654000,-81.1616800,17.0
29.16671000,-81.1616100,17.0
29.16679000,-81.1615300,17.0
29.16695000,-81.1615100,17.0
29.16704000,-81.1614500,17.0
29.16723000,-81.1614100,16.0
29.16732000,-81.1613900,16.0
29.16742000,-81.1613800,15.0
29.16752000,-81.1613800,15.0
29.16760000,-81.1613000,15.0
29.16768000,-81.1612500,16.0
29.16784000,-81.1611500,17.0
29.16802000,-81.1611300,18.0
29.16811000,-81.1611100,19.0
29.16820000,-81.1610700,19.0
29.16830000,-81.1611100,20.0
29.16838000,-81.1611600,20.0
29.16847000,-81.1611900,20.0
29.16855000,-81.1612800,19.0
29.16859000,-81.1613800,19.0
29.16866000,-81.1614400,18.0
29.16874000,-81.1614800,18.0
29.16891000,-81.1615500,18.0
29.16901000,-81.1615700,18.0
29.16911000,-81.1615900,18.0
29.16920000,-81.1616100,17.0
29.16936000,-81.1617400,16.0
29.16953000,-81.1618500,16.0
29.16965000,-81.1620000,17.0
29.16975000,-81.1620100,16.0
29.16983000,-81.1619700,16.0
29.16992000,-81.1619500,16.0
29.17001000,-81.1619700,15.0
29.17011000,-81.1619900,15.0
29.17020000,-81.1620400,15.0
29.17030000,-81.1620700,15.0
29.17045000,-81.1621800,15.0
29.17055000,-81.1622000,15.0
29.17065000,-81.1621800,14.0
29.17075000,-81.1622100,13.0
29.17084000,-81.1622700,12.0
29.17092000,-81.1623400,13.0
29.17101000,-81.1623900,14.0
29.17107000,-81.1624900,15.0
29.17116000,-81.1625400,16.0
29.17124000,-81.1624800,15.0
29.17133000,-81.1624500,15.0
29.17142000,-81.1624400,15.0
29.17152000,-81.1624100,13.0
29.17160000,-81.1623600,12.0
29.17169000,-81.1623300,11.0
29.17178000,-81.1622800,11.0
29.17187000,-81.1622900,12.0
29.17205000,-81.1622800,13.0
29.17215000,-81.1622900,13.0
29.17224000,-81.1623200,14.0
29.17234000,-81.1623600,14.0
29.17252000,-81.1622900,14.0
29.17261000,-81.1623000,14.0
29.17278000,-81.1623900,15.0
29.17286000,-81.1624500,15.0
29.17295000,-81.1624600,15.0
29.17304000,-81.1624900,15.0
29.17312000,-81.1625400,15.0
29.17320000,-81.1626000,15.0
29.17330000,-81.1626300,15.0
29.17338000,-81.1626800,14.0
29.17345000,-81.1627500,14.0
29.17354000,-81.1628000,13.0
29.17363000,-81.1628300,13.0
29.17372000,-81.1628800,13.0
29.17381000,-81.1628900,13.0
29.17389000,-81.1629600,14.0
29.17403000,-81.1630900,14.0
29.17411000,-81.1631400,14.0
29.17420000,-81.1631900,14.0
29.17428000,-81.1632600,14.0
29.17438000,-81.1633100,13.0
29.17448000,-81.1633600,12.0
29.17457000,-81.1634100,12.0
29.17474000,-81.1634800,10.0
29.17483000,-81.1635300,10.0
29.17493000,-81.1635500,10.0
29.17502000,-81.1635900,10.0
29.17517000,-81.1637100,11.0
29.17525000,-81.1637700,12.0
29.17532000,-81.1638300,12.0
29.17541000,-81.1638500,13.0
29.17550000,-81.1638700,13.0
29.17559000,-81.1638800,14.0
29.17570000,-81.1638600,14.0
29.17579000,-81.1638600,14.0
29.17588000,-81.1638900,15.0
29.17599000,-81.1638800,15.0
29.17608000,-81.1639000,15.0
29.17618000,-81.1639200,16.0
29.17627000,-81.1638700,17.0
29.17636000,-81.1638300,17.0
