Latitude,Longitude,Elevation
29.01162,-81.39892,16
29.01163,-81.3989,16
29.01163,-81.39895,17
29.01163,-81.39901,17
29.01163,-81.39952,17
29.01164,-81.39884,17
29.01164,-81.39907,17
29.01164,-81.39965,16
29.01164,-81.39972,16
29.01164,-81.39978,16
29.01165,-81.39914,17
29.01165,-81.39983,17
29.01165,-81.39965,17
29.01166,-81.39876,16
29.01166,-81.3992,16
29.01167,-81.39925,15
29.01167,-81.39989,15
29.01168,-81.39934,15
29.01168,-81.39926,15
29.0117,-81.3987,15
29.0117,-81.39993,15
29.01172,-81.39865,15
29.01173,-81.39998,14
29.01174,-81.3986,14
29.01177,-81.39852,14
29.01177,-81.40004,14
29.01177,-81.39845,14
29.01179,-81.39845,14
29.01179,-81.40009,14
29.01179,-81.4001,13
29.0118,-81.39838,13
29.01181,-81.3982,13
29.01181,-81.39826,13
29.01181,-81.39832,13
29.01183,-81.39814,13
29.01183,-81.40015,12
29.01185,-81.39809,12
29.01186,-81.40018,12
29.01186,-81.39816,11
29.01188,-81.39804,12
29.0119,-81.40024,12
29.01192,-81.39799,12
29.01193,-81.4003,13
29.01195,-81.39795,13
29.01195,-81.40037,14
29.01197,-81.40044,15
29.01198,-81.3979,16
29.01199,-81.4005,16
29.012,-81.40055,17
29.01201,-81.40036,17
29.01202,-81.40061,18
29.01203,-81.39784,18
29.01203,-81.40067,18
29.01206,-81.40072,18
29.01207,-81.3978,17
29.01209,-81.4008,16
29.01211,-81.39775,16
29.01211,-81.40091,15
29.01211,-81.40091,14
29.01212,-81.40098,14
29.01214,-81.40104,13
29.01215,-81.39772,12
29.01215,-81.39771,11
29.01216,-81.40111,11
29.01217,-81.40115,10
29.01219,-81.39769,10
29.01219,-81.4012,10
29.01222,-81.40126,10
29.01223,-81.39764,11
29.01223,-81.40132,11
29.01224,-81.40138,11
29.01225,-81.40144,12
29.01226,-81.4015,12
29.01227,-81.39759,13
29.01227,-81.40162,13
29.01228,-81.40168,14
29.01228,-81.40137,15
29.01229,-81.39399,15
29.01229,-81.40173,16
29.0123,-81.39393,16
29.0123,-81.39406,16
29.0123,-81.39406,16
29.01231,-81.39411,16
29.01231,-81.39755,16
29.01231,-81.40179,16
29.01232,-81.39388,16
29.01233,-81.39418,16
29.01233,-81.40184,17
29.01233,-81.40185,17
29.01233,-81.39748,17
29.01234,-81.3975,17
29.01234,-81.3943,17
29.01235,-81.39383,17
29.01235,-81.39744,16
29.01236,-81.39422,16
29.01236,-81.39733,15
29.01236,-81.39738,15
29.01236,-81.40191,14
29.01238,-81.39377,14
29.01238,-81.39427,13
29.0124,-81.39717,13
29.0124,-81.40196,13
29.01241,-81.39432,13
29.01242,-81.39373,14
29.01242,-81.39437,14
29.01242,-81.39713,14
29.01243,-81.40201,14
29.01243,-81.39719,14
29.01244,-81.39443,15
29.01245,-81.39449,15
29.01245,-81.39462,15
29.01245,-81.40206,16
29.01245,-81.39463,16
29.01246,-81.39454,16
29.01246,-81.39707,16
29.01246,-81.39374,16
29.01247,-81.3937,16
29.01247,-81.39467,16
29.01248,-81.39473,15
29.01248,-81.39479,15
29.01248,-81.39702,15
29.01248,-81.4021,14
29.01249,-81.39485,12
29.01249,-81.40216,12
29.0125,-81.39492,12
29.0125,-81.39689,12
29.0125,-81.39695,13
29.0125,-81.40217,13
29.0125,-81.39701,13
29.0125,-81.3953,14
29.01251,-81.39497,14
29.01251,-81.39504,15
29.01251,-81.39509,15
29.01251,-81.39515,16
29.01251,-81.39669,16
29.01251,-81.39676,16
29.01251,-81.39683,16
29.01252,-81.39366,16
29.01252,-81.3952,16
29.01252,-81.39661,16
29.01253,-81.39526,17
29.01254,-81.39656,17
29.01254,-81.39507,17
29.01255,-81.39362,17
29.01255,-81.39532,17
29.01256,-81.3965,17
29.01256,-81.40222,17
29.01258,-81.40228,17
29.01259,-81.39357,16
29.01259,-81.39537,16
29.01259,-81.39646,16
29.01259,-81.39652,16
29.01262,-81.39541,16
29.01262,-81.3964,17
29.01262,-81.40232,17
29.01263,-81.39306,17
29.01263,-81.39311,17
29.01263,-81.39317,17
29.01263,-81.39352,17
29.01263,-81.39357,17
29.01264,-81.39301,17
29.01265,-81.39324,17
29.01265,-81.39347,16
29.01265,-81.39547,16
29.01265,-81.39635,15
29.01265,-81.40237,15
29.01265,-81.3954,15
29.01265,-81.39323,14
29.01266,-81.39296,14
29.01266,-81.3933,14
29.01266,-81.39336,14
29.01266,-81.39341,14
29.01267,-81.3963,14
29.01268,-81.39258,15
29.01268,-81.39265,15
29.01268,-81.39289,16
29.01268,-81.39552,16
29.01268,-81.40247,17
29.01269,-81.39271,17
29.01269,-81.39283,18
29.01269,-81.39558,18
29.01269,-81.39618,18
29.01269,-81.39625,19
29.01269,-81.40245,19
29.0127,-81.39278,19
29.0127,-81.39563,19
29.0127,-81.39611,19
29.0127,-81.39599,19
29.01271,-81.3925,19
29.01271,-81.39568,19
29.01271,-81.39577,19
29.01271,-81.39584,18
29.01271,-81.39592,18
29.01271,-81.39598,18
29.01271,-81.39605,18
29.01271,-81.3963,18
29.01272,-81.40253,18
29.01274,-81.41111,18
29.01274,-81.39569,18
29.01274,-81.39272,18
29.01275,-81.39245,18
29.01275,-81.40258,18
29.01275,-81.3929,18
29.01278,-81.39242,18
29.0128,-81.39234,18
29.0128,-81.39234,18
29.01281,-81.39235,18
29.01281,-81.41137,18
29.01282,-81.4027,18
29.01284,-81.41173,18
29.01285,-81.41078,18
29.01287,-81.40277,18
29.0129,-81.4028,18
29.01291,-81.40285,17
29.01292,-81.4106,17
29.01293,-81.40293,17
29.01296,-81.40302,16
29.01299,-81.41049,16
29.013,-81.40306,16
29.01306,-81.40314,15
29.01311,-81.41185,15
29.01312,-81.40327,15
29.01317,-81.41037,15
29.01328,-81.40354,15
29.01331,-81.40358,14
29.01334,-81.41025,14
29.01336,-81.40368,14
29.01336,-81.40365,13
29.01339,-81.40372,13
29.01342,-81.40376,13
29.01346,-81.40999,13
29.01347,-81.4038,13
29.01347,-81.41015,14
29.0135,-81.40988,14
29.01352,-81.40383,14
29.01356,-81.40388,16
29.01359,-81.40975,17
29.01362,-81.40393,18
29.01363,-81.40388,19
29.01368,-81.40395,21
29.01369,-81.41202,22
29.0137,-81.4096,22
29.01372,-81.40398,22
29.01376,-81.40402,22
29.01381,-81.40414,21
29.01382,-81.40951,21
29.01386,-81.40419,20
29.01386,-81.4042,21
